Thu May 28 23:21:02 PDT 2009,"@JustDes Morning  Sigh, I envy your disciplined life, brisk walks and all!"
Thu May 28 23:21:02 PDT 2009,@Wortho33 damn it... I knew I jumped on @rustyhinder 's ship too quickly 
Thu May 28 23:21:03 PDT 2009,"my dad became an australian citizen today, he wont stop saying aussie aussie aussie, i may have to deck him "
Thu May 28 23:21:03 PDT 2009,"@coreygledhill haha, no, they're funny.  I like hearing what people reading have to say, so it's totally fine "
Thu May 28 23:21:04 PDT 2009,"@ranglin awesome, thanks for that! "
Thu May 28 23:21:05 PDT 2009,@MrsSOsbourne welcome to twitter 
Thu May 28 23:21:05 PDT 2009,Pantene Pro V shampoo smells like a field of happiness..... on your head 
Thu May 28 23:21:05 PDT 2009,@memelacour lol well i used ur link ;) the other site works tho i got like 20 or 25 already 
Thu May 28 23:21:05 PDT 2009,@ddlovato YES PLEASE 
Thu May 28 23:21:05 PDT 2009,back to doing web design 
Thu May 28 23:21:06 PDT 2009,@SuP3rK Hey!!!!!  I'm out par-taying!!!
Thu May 28 23:21:07 PDT 2009,oh i did find one 80s picture...here i am studying at U of Oregon (or maybe just reading a newspaper)   http://bit.ly/14FQ8p
Thu May 28 23:21:07 PDT 2009,@tiffanylue Ok thanks 
Thu May 28 23:21:08 PDT 2009,Gonna go learn how to ride a motorcycle all by myself. Pray i don't crash and die? 
Thu May 28 23:21:08 PDT 2009,Follow the Leader 
Thu May 28 23:21:08 PDT 2009,Yay...got an early mark from work! Weekend...here I come   
Thu May 28 23:21:08 PDT 2009,"Sitting in a cafe and &quot;working&quot;, watching the storm roll in "
Thu May 28 23:21:09 PDT 2009,Snow Patrol was great yesterday..  Loved them... The support act was weird xD Didn't like them!
Thu May 28 23:21:09 PDT 2009,"@babyscratch ha ha fa realz...gotta meet up wit the homies in BEGAS real soon, so i def gotta go swoop up ma sis! "
Thu May 28 23:21:10 PDT 2009,@Rocktress you're welcome  you did really good!
Thu May 28 23:21:11 PDT 2009,@NaniWaialeale I'll remind u tomorrow! Ice cream for Nani! 
Thu May 28 23:21:11 PDT 2009,"im eating a cantalope and drinking a redbull, 5 hours left of work "
Thu May 28 23:21:11 PDT 2009,Going for a walk at the Dana Point Harbor...even though it's super foggy 
Thu May 28 23:21:11 PDT 2009,"@TFA_Starscream OOC: *is startled by the ping signaling a new tweet!* XD Yay, I'm not alone in the Twitterverse! "
Thu May 28 23:21:11 PDT 2009,loving summer so far 
Thu May 28 23:21:12 PDT 2009,@projectedtwin Super cool    Picture?!?!?!
Thu May 28 23:21:13 PDT 2009,@sammartino strange fumes the fire brigade are trying to find according to @774melbourne stream 
Thu May 28 23:21:13 PDT 2009,@quovadimusgirl i love it doodoo!! great job 
Thu May 28 23:21:14 PDT 2009,@heartstation Lightsource #Wordpress theme by #elegantthemes somehow reminds me of @bryanveloso's Avalonstar 
Thu May 28 23:21:15 PDT 2009,has an exam but didnt study 
Thu May 28 23:21:15 PDT 2009,"@simchabe ah! was just shaking my 'bootie' to KOL as I brushed my teeth, as one does... will most def be listening to it in yrs to come! "
Thu May 28 23:21:16 PDT 2009,Just got home from filming with the @pwndcast Crew!! &lt;3 So much fun. Can't wait to do it again!! 
Thu May 28 23:21:16 PDT 2009,Went to &quot;Alan's Espresso&quot; today. He still makes the best Coffee in Brisbane. Talked to him about how to start being a Barista.. 
Thu May 28 23:21:16 PDT 2009,@Jam4 Haha! I love how kids say whatever comes to mind with zero filter. They're unintentionally hilarious  Yours sound like a hoot!
Thu May 28 23:21:17 PDT 2009,@craigeth sweet!  I'll check it out
Thu May 28 23:21:17 PDT 2009,"OMGOMG! Just saw those new moon pics in order to make it look like the movie..aahh, I nearly cried. Soo amazing "
Thu May 28 23:21:17 PDT 2009,more questions i'm liking this ... 
Thu May 28 23:21:17 PDT 2009,Still amazed that I watched Game 5 of the Cavs vs Magic. In the SAF. While in camp. I'm liking my new life already. 
Thu May 28 23:21:17 PDT 2009,"I just took a shower, ah much better. "
Thu May 28 23:21:18 PDT 2009,"@maydbs Godd morning! I'm working alot, then playing records @ bar H62. It's sunny in sthlm as well "
Thu May 28 23:21:18 PDT 2009,@SincereBC  chat later??? 
Thu May 28 23:21:18 PDT 2009,philippine fashion week?? u got that right. sumpthin sumpthin to fuzz about this summer. thanks eugene for the ticket. see you there... 
Thu May 28 23:21:19 PDT 2009,"is ready for milwaukee! beer, german food, museum, and zoo, here i come. "
Thu May 28 23:21:19 PDT 2009,@wanina93 for sure we'll hang; have fun at the conference 
Thu May 28 23:21:20 PDT 2009,"@NightAngel430 Sunday performances, may be weekly. ;) I can confirm this Sunday, knot2sure about the next. Dang, I'm tired. hehe How R U? "
Thu May 28 23:21:20 PDT 2009,@Kim910 Right? And yet I am still here an hour after my bedtime...ADDICT! 
Thu May 28 23:21:21 PDT 2009,Goodnight loves 
Thu May 28 23:21:21 PDT 2009,@LaBelleChanson and i am absolutely STOKED for the show  it's going to be amazing.
Thu May 28 23:21:21 PDT 2009,@MissSummer OoOoo its always good times at HH 
Thu May 28 23:21:21 PDT 2009,What a loooooovely day today!  Morning all!
Thu May 28 23:21:22 PDT 2009,@designthinkers even the thought is appreciated 
Thu May 28 23:21:22 PDT 2009,Was all GOOD ! I totally 4got I stashed the pan in the oven n simply 4got about it hehehe all things get better with age n this proves it 
Thu May 28 23:21:22 PDT 2009,@swingdag So fav'd that giant-game-of-flight-control tweet. It's a vicious virus I tell you 
Thu May 28 23:21:23 PDT 2009,cleaning my room. danngg rav and i have so much junk! and its still not done. but its waayy better  &lt;3
Thu May 28 23:21:23 PDT 2009,Bed.  I swear twitter will be the death of me... Or at least make me late for work tomorrow.  Sweet dreams 
Thu May 28 23:21:23 PDT 2009,@_anea  Then surely you acknowledge my amazing dildo hunting powers.
Thu May 28 23:22:45 PDT 2009,nothing better than drinking ice cold diet pepsi. 
Thu May 28 23:22:45 PDT 2009,@peter811m my pleasure pal 
Thu May 28 23:22:46 PDT 2009,"lianhua: feels much better after a night out full of pizza, gelato, a ginger latte and good friends...  http://bit.ly/Ml1IJ"
Thu May 28 23:22:47 PDT 2009,@RealAnnieDuke that's 2 more than I can spell! 
Thu May 28 23:22:48 PDT 2009,had the sweetest morning   
Thu May 28 23:22:48 PDT 2009,work work work.. 
Thu May 28 23:22:49 PDT 2009,You belong with me - Taylor Swift 
Thu May 28 23:22:49 PDT 2009,"@VegasBill Now that, I'd like to see. "
Thu May 28 23:22:50 PDT 2009,@juliancarter Definitely mate.. All themed 'sweet things' - lol  We'll have a section on apps on the new @elastique site when it goes ...
Thu May 28 23:22:50 PDT 2009,@MrsSOsbourne you go Sharon! 
Thu May 28 23:22:50 PDT 2009,"Sooooo sleepy, lol.  Time to read my book "
Thu May 28 23:22:51 PDT 2009,@ayyoangela sry i'm not replying.my iPhone is backing up right now so yeah..but if u restore it then it'll be fine. just back it up first 
Thu May 28 23:22:51 PDT 2009,@henryjose After i blow out the 'fro 
Thu May 28 23:22:51 PDT 2009,"@NoToriousTori @lovehound Woot, it works. "
Thu May 28 23:22:51 PDT 2009,"cute heart shaped 'Portal' Cube.  my baby is playing games, im reading fan fictions!  http://sml.vg/eFzqMG"
Thu May 28 23:22:52 PDT 2009,   I want to write a song. I think I will.
