Sun May 17 08:48:01 PDT 2009,Anyone know how to removed the search box from the header area in Word Press? (I'm using the &quot;magazine-basic&quot; theme.) Brain imploding... 
Sun May 17 08:48:01 PDT 2009,Well played Roger! Good to have you back! Looking forward to Roland Garros 
Sun May 17 08:48:02 PDT 2009,"Finally made it to brick lane for breakfast bagels... Today has been somewhat rock 'n roll, I'm a happy bunny "
Sun May 17 08:48:02 PDT 2009,@sakurajewellery wayhey!. *greases up and jumps on* 
Sun May 17 08:48:02 PDT 2009,@Ellenpotter Thanks 
Sun May 17 08:48:03 PDT 2009,should I buy Tweetie for my iPod... I have brought it for my Mac but just waiting for proxy support! Any day now! 
Sun May 17 08:48:03 PDT 2009,"@tayswift http://twitpic.com/5cjj3 - taylor, you are so beautiful  i love you girl :*"
Sun May 17 08:48:04 PDT 2009,"@sparklethots apparently I did, haha! thanks ruth! It was great meeting you! "
Sun May 17 08:48:04 PDT 2009,@bmcox yes a trekkie indeed. it was sooo good. I wanna see it again 
Sun May 17 08:48:04 PDT 2009,@mediocre_mum well it's good to shake them hard once drained and leave in the colander for a while a la @jamie_oliver 
Sun May 17 08:48:05 PDT 2009,At work my first day as been really good 
Sun May 17 08:48:05 PDT 2009,@stacyn6891 well the best of luck to you! And ps...Heroes is awesome 
Sun May 17 08:48:06 PDT 2009,@ClaireBoyles So what are you doing at home on a great sunday evening? 
Sun May 17 08:48:07 PDT 2009,"@the_reaper http://twitpic.com/560rv - Woww, it's awesome!!!!!!!!!!!!!!!! Almost as good as Pete's ;D haha joking "
Sun May 17 08:48:07 PDT 2009,@little94 Hiii 
Sun May 17 08:48:07 PDT 2009,sortin out my twitter account  
Sun May 17 08:48:08 PDT 2009,@babeqirl  lol yeah this is me  .. ill tell you later =D lmao
Sun May 17 08:48:08 PDT 2009,"@SirEuan Morning Euan!  well, afternoon your time.  "
Sun May 17 08:48:08 PDT 2009,sometimes the best ideas are the craziest. don't be bound by what you think you can and can't do. challenge yourself.  (via @jeffpulver)
Sun May 17 08:48:08 PDT 2009,@slavedogfang come visit chicago some weekend 
Sun May 17 08:48:08 PDT 2009,@Mother_Teresa  Good Morning 
Sun May 17 08:48:09 PDT 2009,@ENTERSHIKARI  were can you get a copy of the nero remix!! its amazing 
Sun May 17 09:41:22 PDT 2009,Forever 1-7. Then sushi with @marissaonfire 
Sun May 17 09:41:22 PDT 2009,Freebirds is a GREAT idea  mmmm veggie half bird 
Sun May 17 09:41:23 PDT 2009,1 more till 40 followers 
Sun May 17 09:41:23 PDT 2009,Wif my goob 
Sun May 17 09:41:23 PDT 2009,"@spinninglaura thats right, i'm not a model. i've decided on helping out lil children &amp; animals  know of any good organizations?"
Sun May 17 09:41:24 PDT 2009,"Perfect last night/morning of college. Fam, friends, fun, food, drinks &amp; dancing till the sun comes up. Totally worth only 2 hrs of sleep "
Sun May 17 09:41:24 PDT 2009,@Jessmat25 i saw parts of it. i heart kobe..he's a good man...and a fine man...i'd hit that. 
Sun May 17 09:41:24 PDT 2009,@elwoood OMG! Is that picture real? You literally were blown off your feet! 
Sun May 17 09:41:24 PDT 2009,@Heather_Poole I agree! 
Sun May 17 09:41:24 PDT 2009,@saraski wutup s? have fun at work! 
Sun May 17 09:41:24 PDT 2009,is over the moon. the scum (west brom) have been relegated!! 
Sun May 17 09:41:25 PDT 2009,That would be awesome! I hope y'all get the house with the pool too 
Sun May 17 09:41:25 PDT 2009,Works nearly done  in 5 hours
Sun May 17 09:41:26 PDT 2009,@NASA That's what I usually do.  Just force it! It's not rocket science 
Sun May 17 09:41:26 PDT 2009,"@Reinachango wish i was coming with ya, miss u all already, hurry back please  x"
Sun May 17 09:41:26 PDT 2009,@itsnotred thank you  such a good night.really pleased for james&amp;euan.i do sleep sometimes.photos were done this morning before work.
Sun May 17 09:41:26 PDT 2009,All signed up for the gym which includes use of pool and classes! Aqua aerobics and pilates tomorrow!! 
Sun May 17 09:41:26 PDT 2009,@wendilynnmakeup Good morning! And lovely Gandhi quote 
Sun May 17 09:41:26 PDT 2009,House cleaning...sometimes my mom gets too stressed out but it does make me happy the reason behind it 
Sun May 17 09:41:27 PDT 2009,Sitting in the sun with a starbucks after a nice long walk 
Sun May 17 09:41:27 PDT 2009,im currenty editing pics and listening to old hannah montana songs 
Sun May 17 09:41:27 PDT 2009,@gpok I even registered you have to pay 
Sun May 17 09:41:27 PDT 2009,"@itsNICKJONAS Nick have fun, can not wait to see you guys ths summer... "
Sun May 17 09:41:27 PDT 2009,Delonge Day 
Sun May 17 09:41:28 PDT 2009,hanging out with the kids!! luuuuv em! 
Sun May 17 09:41:28 PDT 2009,wrapped up in reading New Moon 
Sun May 17 09:41:28 PDT 2009,heading to red wings game with ro baby... 3rd row!... not bad for last minute tickets! 
Sun May 17 09:41:28 PDT 2009,Ahhhh i`m uppppppppp! Don`t really have a big ass hangover. Thank god 
Sun May 17 09:41:29 PDT 2009,Glad to hear mom dad &amp; opa have arrived safely!! Thank God 
Sun May 17 09:41:29 PDT 2009,And i'm up  stupid lazy me lol
Sun May 17 09:41:29 PDT 2009,Jamming to Waiting for Yesterday in Jon's car!   
Sun May 17 09:41:30 PDT 2009,Happy 51st Birthday Daddy! What a year it has been! And I'm looking forward to what's ahead... Love you! 
Sun May 17 09:41:30 PDT 2009,I'm waiting my love 
